iter	Logloss
0	0.6222744159
1	0.5669897917
2	0.5251404924
3	0.4915157926
4	0.465137033
5	0.4444012847
6	0.4282194049
7	0.4146611808
8	0.4032729758
9	0.3948053655
10	0.3879641316
11	0.3821461852
12	0.3764530077
13	0.3719029506
14	0.3682323527
15	0.3649088846
16	0.3625673863
17	0.3606219678
18	0.3586675625
19	0.356851013
20	0.3553140184
21	0.3538229149
22	0.3527289
23	0.351636987
24	0.3506549628
25	0.3497836343
26	0.3487313317
27	0.3478735659
28	0.3470079852
29	0.3462098855
30	0.3456243062
31	0.3451637131
32	0.3445608558
33	0.3438896418
34	0.3434708916
35	0.3428840813
36	0.3424477744
37	0.3419804442
38	0.3415910152
39	0.3412460735
40	0.3408489109
41	0.3404913117
42	0.3399612171
43	0.3397640555
44	0.3394556148
45	0.339173128
46	0.3388254617
47	0.3385564872
48	0.3384000621
49	0.3379546821
50	0.3376250029
51	0.337388961
52	0.3371401062
53	0.336893981
54	0.3365982027
55	0.3363884169
56	0.3361020917
57	0.3358056473
58	0.3354968033
59	0.3352327243
60	0.3349788087
61	0.3347963631
62	0.3345690206
63	0.3343148904
64	0.3340433158
65	0.3338153208
66	0.3335722039
67	0.3333725001
68	0.3331420038
69	0.3330323775
70	0.3328093286
71	0.3326239857
72	0.3324052118
73	0.332119639
74	0.3318505115
75	0.331635486
76	0.3314334474
77	0.3311738605
78	0.331001867
79	0.3308111907
80	0.3306810143
81	0.3304915085
82	0.3303025652
83	0.3301124292
84	0.3299539727
85	0.3297540654
86	0.3295322079
87	0.329316715
88	0.3291426124
89	0.3289146309
90	0.328648328
91	0.3284818036
92	0.3283413921
93	0.3282383043
94	0.3280234577
95	0.3277985944
96	0.3275987796
97	0.3274457316
98	0.3272876316
99	0.3271499892
100	0.3269730336
101	0.3268443064
102	0.3267469874
103	0.3264454465
104	0.3262689338
105	0.3260901651
106	0.3258889035
107	0.3256930381
108	0.3255007251
109	0.3253060957
110	0.3252018176
111	0.3249545194
112	0.3247592572
113	0.3246065966
114	0.3244104562
115	0.3241945377
116	0.3240688165
117	0.3239191987
118	0.3237509413
119	0.3236014246
120	0.3234385844
121	0.3232785417
122	0.3231384152
123	0.3229667177
124	0.3228473535
125	0.3226767094
126	0.3225677715
127	0.322391551
128	0.3222601017
129	0.3221142668
130	0.3219053567
131	0.3217720819
132	0.3215504169
133	0.3213368333
134	0.3211857009
135	0.3210507634
136	0.3208989847
137	0.3207344275
138	0.3205685383
139	0.320428709
140	0.3203070951
141	0.320090439
142	0.3198982197
143	0.3197364033
144	0.3195841164
145	0.3194701016
146	0.3193028482
147	0.3191712003
148	0.3189939709
149	0.3188205244
150	0.3186307251
151	0.3184989909
152	0.318329072
153	0.3181989104
154	0.3180711219
155	0.3179294696
156	0.3177803316
157	0.3176480115
158	0.3174522967
159	0.3173158075
160	0.3171589322
161	0.3169658076
162	0.3167887669
163	0.3166233513
164	0.3165245028
165	0.3164009216
166	0.316236806
167	0.3161012679
168	0.3160099458
169	0.3158661819
170	0.3157435812
171	0.3155445681
172	0.3153325917
173	0.3151575554
174	0.3150369183
175	0.3148978414
176	0.3147438141
177	0.3146339881
178	0.3144730129
179	0.3143566447
180	0.3142107062
181	0.3140689097
182	0.3138899078
183	0.3137464547
184	0.3135602089
185	0.3133825182
186	0.3132507704
187	0.3130903046
188	0.312972053
189	0.3128381602
190	0.3126835495
191	0.3125756082
192	0.3124899734
193	0.3123872643
194	0.3122724638
195	0.3121741112
196	0.3120537924
197	0.3119544579
198	0.3118550605
199	0.3117791539
200	0.3115919621
201	0.3114140419
202	0.3113119199
203	0.3112342803
204	0.3110935568
205	0.3109897585
206	0.3108824302
207	0.3107737969
208	0.3106327021
209	0.310475294
210	0.3103441839
211	0.3102160697
212	0.3100800172
213	0.309959786
214	0.3098533679
215	0.3097363732
216	0.3096262388
217	0.3095171096
218	0.3094091979
219	0.3092676357
220	0.3091403109
221	0.3090282561
222	0.3089132262
223	0.3088110104
224	0.3087422713
225	0.3086431181
226	0.3085266217
227	0.3083957089
228	0.3082440671
229	0.3081580524
230	0.3080625527
231	0.3079879362
232	0.3078441341
233	0.3077209796
234	0.3076047496
235	0.3074689721
236	0.3073566706
237	0.3072378146
238	0.3071419054
239	0.3070517403
240	0.3069236878
241	0.3068268757
242	0.3067031958
243	0.3065629854
244	0.3064587838
245	0.3063613427
246	0.306283386
247	0.3061482142
248	0.3060212768
249	0.3058575954
250	0.3057546347
251	0.305667341
252	0.3055781058
253	0.305479282
254	0.3053181736
255	0.3052434424
256	0.3050748816
