iter	Passed	Remaining
0	22	8898
1	42	8333
2	57	7439
3	68	6696
4	80	6210
5	90	5850
6	101	5597
7	112	5415
8	123	5257
9	133	5111
10	143	4990
11	154	4893
12	165	4839
13	176	4788
14	188	4759
15	199	4703
16	210	4653
17	220	4602
18	232	4569
19	244	4561
20	256	4546
21	267	4507
22	278	4472
23	289	4445
24	299	4413
25	310	4389
26	321	4356
27	332	4333
28	344	4324
29	355	4302
30	365	4267
31	375	4239
32	387	4222
33	397	4193
34	407	4166
35	418	4148
36	427	4117
37	439	4102
38	450	4084
39	460	4060
40	470	4038
41	482	4029
42	492	4010
43	502	3987
44	512	3963
45	522	3938
46	533	3927
47	544	3912
48	555	3900
49	566	3888
50	577	3874
51	587	3851
52	597	3833
53	608	3817
54	618	3802
55	628	3783
56	639	3769
57	651	3761
58	661	3745
59	673	3740
60	684	3724
61	693	3704
62	704	3688
63	714	3674
64	724	3656
65	734	3639
66	745	3627
67	755	3612
68	766	3599
69	776	3582
70	787	3569
71	796	3552
72	807	3537
73	817	3524
74	827	3509
75	838	3498
76	849	3486
77	859	3471
78	870	3460
79	881	3448
80	891	3434
81	902	3422
82	912	3408
83	922	3393
84	932	3379
85	942	3365
86	953	3352
87	963	3339
88	974	3328
89	984	3313
90	994	3300
91	1004	3287
92	1015	3274
93	1024	3257
94	1034	3245
95	1044	3232
96	1055	3220
97	1065	3208
98	1075	3193
99	1086	3183
100	1097	3173
101	1109	3164
102	1119	3152
103	1131	3144
104	1145	3140
105	1155	3129
106	1166	3118
107	1177	3106
108	1187	3094
109	1198	3083
110	1208	3071
111	1219	3059
112	1229	3045
113	1239	3033
114	1250	3023
115	1259	3006
116	1269	2994
117	1279	2982
118	1290	2970
119	1300	2959
120	1312	2950
121	1323	2940
122	1334	2928
123	1345	2917
124	1355	2905
125	1364	2892
126	1374	2878
127	1385	2867
128	1395	2856
129	1405	2842
130	1415	2831
131	1426	2819
132	1437	2809
133	1448	2799
134	1457	2786
135	1468	2774
136	1479	2765
137	1490	2753
138	1501	2743
139	1513	2735
140	1525	2726
141	1535	2714
142	1547	2704
143	1558	2695
144	1569	2685
145	1580	2673
146	1590	2662
147	1600	2649
148	1611	2639
149	1622	2627
150	1632	2616
151	1643	2606
152	1653	2594
153	1664	2583
154	1674	2570
155	1685	2559
156	1695	2547
157	1705	2536
158	1716	2525
159	1727	2515
160	1737	2504
161	1750	2495
162	1760	2484
163	1770	2472
164	1780	2460
165	1791	2450
